post	target	implied_statement
given that you commit the crime, and rob, and loot, and murder us, yes, that is true. how about deporting yourselves?	immigrants	immigrants commit several crimes
ice should surround them, herd them onto buses, take them to the mexican border & unload them there. tell the mexican govt to deal with them.	Immigrants	Immigrants are scum and must be expelled and thrown in their places of origin
" rt supremacy requires diversity . white  "" supremacists "" "" are really separatists . wantnothing to do wnon-whites """	Conservative whites	Conservative whites promote separatism
did he condemn the somali who murdered a ' white woman ? why are they even here ?	Somalis	Somalis kill white people.
yes  jihadi . wager of war . that's what he was .	Muslims	Muslims want war.
all the more reasons to keep these lazy, psychotic criminals out, parasites of the world destroying it!	Immigrants and refugees	Implying these people are criminals, lazy and a lot of bad stuff.
because upholding laws and deporting illegal aliens is white supremacy . bwaaaaahahahahahahaha ! ! thank you !	illegal aliens	Illegal aliens shouldn't be in the country.
flood: feds predict another 127,000 illegals this year via #border #secureourborder #noamnesty	Immigrants	Immigrants are a catastrophe
ask more rss intellectuals to come on powerful twitter and spread the message of brahma  vishnu and mahesh .	Indian folks	Indian folks are uneducated
islam has special privileges in the uk : muslims have been bullying britain and the leftists are their helpers	Muslims	Muslims are bullies.
" thank you . milo's outlived any purpose he * supposedly * served as an  "" alt-right gateway . "" "" now he's just a classic lib degenerate . """	Liberals	Liberals are sick and twisted.
end all non white european immigration . set up a resettlement program to rescue white south africans .	Non-whites	Non-whites shouldn't be allowed to immigrate.
people who think #whitelivesmatter is racist are clearly racist against white people .	white lives matter protesters	White Lives Matter protesters are racists.
splc uses itunes to help gather donations to finish destroying the white race via	non-white people	non-white people are a threat
mandela's rainbow nation : white woman raped then stoned by racist blacks in south africa via	black people	Black people are violent.
"get them, & all other """"visa over-stayers"""", gone!"	Immigrants	Immigrants should be deported
muslims arrested for conning elderly into funding jihadis #islam #islamophobia #tcot #antimuslim #uk	Muslims	Muslims are jihadists
nonsense . slaves  unlike poor whites  had access to healthcare and a better diet than even modern blacks .	Blacks	Blacks receive special treatment
they move into the third mixed nation .	Mixed races	Mixed races are substandard.
i have my trusty spell casting wand. i shall smite all the libtard goblins back to hell from whence they came. kazaam!	Liberals	Liberals are retarded individuals that deserve to be driven from the country
coming from a middle aged obese anti white that has no problem calling people of her own racial identity racist for taking a stand ...	non-white people	non-white people are hypocrites
"they'll be ignored. the """"parasites"""" need to all go home!"	immigrants	immigrants are leeches on society and should be deported
we need few more video like this to open eyes of sleeping hindus christian conversion is big	Hindus	Hindus are ignorant
" rt  "" diversity "" "" = nonwhite ; "" "" white supremacist "" "" = not anti-white . """	Progressives	Progressives are anti-white
yeah. best education system, best armed forces, best equality and diversity systems what have you got? goats and wasteland i bet.	Non-americans	Eugenics speech implying non-americans are inferior
diversity is only imposed on white nations . diversity : slowly & legally eliminating white people	Progressives	Progressives want to get rid of the white race
cuck island : eyewitnesses report that police ran away from moslem terrorists via	Muslims	Muslims are terrorists
bernie will lose to hillary in the south because of black identity politics	Black people	Black people vote are easily manipulated
sam francis observed the emergence of an american people of the white race ( mars ) .	Minorities	Minorities are subpar compared to whites
another holocaust survivor hoax exposed	Jews	Jews are liars.
white lives matter business card looks most excellent and worth ordering from the new order in milwaukee wi . usa	Minorities	Minorities exclude whites
after micah x .  it needs to go back up permanently . why was it taken down to appease these people ?	Black folks	Black folks have to die
half of those ppl have a significant % white heritage .	Minorities	Minorities are inferior races
germany : non-white in one generation via	Minorities	Minorities are taking over.
white on black rape is nonexistent .	Blacks	Blacks commit all the rapes
and we demand they be sent hometo heck with their demands while enjoying our way of life while being illegal.	Immigrants	Immigrants should be deported
where's ' jewish council ' aka statement on mb spiritual leader qaradawi edict to ummah :	Jews	Jews are cowards
" uk : muslim parents planned  "" trojan horse "" "" strategy to oust non-muslim headteachers and turn schools into muslim """	Muslims	Muslims are dangerous.
" an epic win for westren civilization !  "" django unchained "" "" was horribly racist and anti-white . """	Blacks	Blacks are against whites.
why don't feminists talk about the abuse of white women ? via #withjewswelose	feminists	Feminists don't care about white women.
i have to say it! she needs a poke in her hantas!	Womens	Women are inferior and must be tortured to learn this
: what people don't understand is that whiteness and white property are inherently violent and evil  so viol	white people	White people are violent.
billy boy will select a harem for himself if he is put in charge!	Muslims	Muslims are decadent
planned parenthood started to kill black babies . racist and murder . d	Planned parenthood	Planned parenthood are killers.
don't they realise if they pull the trigger, they're going to lose badly?i hope they do it, we need a good culling anyway.	Immigrants	Immigrants should be killed
" : new video : discusses  "" white privilege  "" "" the new frontier of white guilt : #privilege #tcot """	white people	White people are privileged.
the border now welcome wagon for illegals. obama has eradicated immigration laws to flood country w/ peasants.	Immigrants	Immigrants are weak
who's warning them? state or fed? invasion of innocents. shuttled in need to shuttle out!	Immigrants	Immigrants are invading the country and should be stopped.
because white people are smart enough to get out of the rain ?	Minorities	Minorities are stupid.
: once again islam and its followers are trying to invade and force conversion by any means . as our ancestors	Muslims	Muslims force their views on others.
: learn from it  #liberals ~ elin krantz : just another dead white liberal female ...	Liberals	Liberals are inferior people
if islam is banned what happens to the muslims? arrest them? kill them? what exactly?	Muslims	Muslims are dangerous and they should be banned if their religion ended
if there are moderate muslims, they're heretics according to koran. allows no peaceful coexistence. submit or die.	Muslims	are all terrorists.
no wonder democrats want to flood our country with mexicans and other third worlders. #daca #illegals #buildthewall	mexicans and poor people	mexicans want to cross the border
more preoccupied by a frog or lizard than safety of americans! #buildthewall	Americans	Americans are not the main concern
it's wonderful if these white women will wake up to anti-white racism.but some whites love to be punished for being white .	White women	White women are foolish traitors
stop illegal immigrants from voting!	Illegal immigrants	Illegal immigrants shouldn't have the same right as citizens
soon aap etc will begin protests, just wait but arrest itself may be farcical	aap	aap will do protest.
i want them to have a coup and line people up and [censored] them.	Immigrants	Immigrants should die
how easy it is to get a background from someone with no background that lives in a mud hut, lmao!	Immigrants	Immigrants are inferior
now they are calling for an invasion . this is white genocide ! !	People of color	People of color want to get rid of white people
white people are evil and deserve discrimination via #thanksjews	Whites	Whites are wicked
europeans should do as muslims and theoretically stone that woman by voting her out of office	Women	Women should be killed
has a decade of black on white  elderly  asian  disabled  lgbt  homeless  veterans  etc .	black people	Black people hate Asians.
no smart wall a deadly wall is what we need machine guns , rocket launchers and land mines on the mexican side blow a few up problem solved	Mexican Immigrants	Immigrants should be exterminated if they tried to cross the wall
europeans are both white and genetically distinct from all other human groups .	Minorities	Minorities are subpar races.
" already the media has changed from  "" white supremacists "" "" to "" "" white nationalists  "" "" a clear sign of normalization of wn """	non-white people	non-white people are undesirable
didn't say you were . im not polish but i support polish nationalism . actually arab nationalism for that matter  palestine is being colonized	Jews	Jews want to take over.
: white genocide as business : starbucks promoting race mixing for white women ( video )	Progressives	Progressives are killing off the white race
biological difference between white civilization & black civilization . race is bone-deep . dna manifests differently .	Black people	Black people are biologically inferior
correct, they're not. so why are they here? get rid!	Immigrants	Immigrants have to get out from the country
every time i see these people all i think of are th white version of black isrealites .	Minorities	Minorities persecute blacks
needs to call out the dems on their hatred of white people . go there ! it is an anti-white party	Democrats	Democrats hate white people.
"  "" color "" "" doesnt matter unless u r white . n amurrica diversity & pro-white free speech can't coexist . #whitegenocide """	Minorities	Minorities claim privileges
one people . one nation . end imigration .	Immigrants	Immigrants are second class citizens
why would any white person want to be around a fat black guy? the smell alone, would be overbearing.	Black folks	Black folks are stinky
help keep the muslim and commies on the run to honour your based ancestors friend .	Muslims	Muslims are substandard
white genocide	Minorities	Minorities are looking to wipe out white culture.
this is in fact a jew larping as a white man larping a catholic priest	Jews	Jews are jealous of whites
don't forget the 125 million * legal * non-whites tooyou would need to deputize all of white america to succeed but unfortunately half of them are liberal and only 8 % overall are sympathetic to white nationalism . plus  majority are passive lemmings who'll never take direct action .	White people	White people are either weak or racists
: racist black thugs shoot white baby in the face for the fun of it	Blacks	Blacks are hoodlums
1.7 million muslim / arab citizens in israel.jordan law : no jew may be citizen or own landso who's racist ?	Muslims	Muslims are racist.
lol this isnt even your country . search your heritage  go back there .	Immigrants	Immigrants bring down a country
time will prove who r allies . national socialist party has much bigger canvass spreading far & wide .	Minorities	Minorities are inferior
white genocide alert .. detroit : the death of white civilisation | more : via	white people	White people are dying out.
1,000's of years 1,000's of gods, billions of fools. the defect of humanity, religion.	Religious people.	Religious are always taking advance.
ban islam and hate religions like islam simple	islamic	Islamic people hate others.
stop all muslim immigration now !	Muslims	Muslims are inferior
tie the noose right, mr. executioner. we wanna here the snap!	Black people	Black people should be killed
repubs hating muslims blacks hispanics immigrants women govt libs ... who's left for angry white bigots to hate ?	white people	White people hate everyone.
ah  right . i forgot  the only valid people are the straight white ones .	Heterosexual Whites	Heterosexual Whites act superior to others.
more diversity in obama's america : white couple brutally beaten by racist negroes for no reason via	Black people	Black people are violent
can i join if i'm black but on the inside white ?	Blacks	Blacks are subpar compared to whites
if you're not white then you're stupid for having swastikas on your profile	whites	whites are nazis
islam is racist	Muslims	Muslims are racist
wake up white people .	white people	White people need to wake up.
action report : america first banner drop on tuesday  december 5  identity evropa activists dropped a massive banner at in atlanta .	Minorities	Minorities are substandard races
shitlibs are purging the white males for criticizing hillary :	Liberals	Liberals don't like white men.
" is trying to preserve a western culture that was cultivated by white europeans   "" white supremacy "" "" ? """	non-white people	non-white people are incompatible with Western soceity
do you think #americans are going to go pick fruit, or cut lawns, or do condition? think about it	Immigrants	Immigrants should do dirty jobs
optics cucks eternally btfo ! #whitelivesmatter did more to advance our narrative than any rally thus far . congratul	whites	whites are discriminated against
" roosh is non-white  a sleazy disgusting self-serving iranian  who is trying to be accepted as  "" white "" "" . """	Iranians	Iranians are manipulative
it's extremely lol that white liberals think blaqs aren't 1 . racist 2 . sexist 3 . xenophobic	Liberals	Liberals don't think blacks are bad.
minorities as minions for white liberals via	People of color	People of color are easily manipulated
white people are getting wise to the jews of hollywood and their ways . #movies #tv #dvd	Jews	Jews don't like white people.
where's balanced immigration ? we gonna allow male isis invasion europe is having ? ! america won't be the liberal bastion of freedom anymore .	Liberals	Liberals are misguided
that's going to do a lot. time for a round up, start with the lawyers who represent this filth when they get arrested.	Immigrants	Immigrants are criminals
" >  "" scared white men "" "" this is what you sound like . """	white men	white men are scared
guantanamo is too good for them, gallows are better	Muslims	Muslims should get killed
watch antifa member attack a supporter at the event . #auburnlive #auburn #altright	Antifa members	Antifa member are violent.
so now we deport him for the 7th time so he can jump the fence again and kill again!	immigrants	Immigrants should be deported
#howtospotafeminist their favorite colour isn't white .	feminists	Feminists hate white people.
that's because it's their religious duty to rid the world of women  permanently .	Women	Women are inferior to men
( ... but keep the pipeline open for white people ... shhhhh )	Minorities	Minorities are second class.
send him to honduras with the other 500,000 pieces of trash	Illegal immigrants	Illegal immigrants are from the third world
anti-racist activist raped by non-white illegal immigrant after attending anti-racism festival va	non-white immigrants	Non-white immigrants are criminals.
go back u piece of shits.	Immigrants	Immigrants should be deported
friday deadline to sign our letter to #congress 2 stop #syrianrefugees fr coming to ur state	Syrian refugees	Syrian refugees are not welcomed in their state.
elephant in the room: immigration-driven population growth creates unparalleled demand for housing. #toomanypeople	immigrants	Immigrants have many children.
trump is the only one willing to stop white genocide by stopping non-white immigration .	white people	White people are helped by Trump.
white power via	Minorities	Minorities are lower than whites.
" rt berlin : muslims chanting  "" allahu akbar "" "" & "" "" jew  jew  coward pig "" "" . hitler would be proud . #trumpaddress #jointaddress """	Muslims	Muslims don't like Jews.
jews as a whole r enemies of christ  his followers  & white western civilization n general	Jews	Jews hate Christians and whites.
" who is  "" we "" "" ? all those white people you hate ? """	non-whites	Non-whites hate white people.
yes it is ! white pride !	white people	White people are proud of their heritage.
neocon jew bill kristol wants to create a committee not to renominate the president daily stormer	Jews	Jews hate the white race.
switzerland : africans kill elderly white man then start screaming about racism #swrm via	Africans	Africans kill white people.
i already answered this . why are you denying racial iq and evolutionary psychology / biology ?	Black people	Black people have low IQ
cuckservatives : cpac chairman condemns thealt-right	conservatives	Conservatives are bad.
#noamnesty ,forward deployment is economic security.	Political criminals	Political criminal don't deserve asylum
op ; white storm #wpww #whitegenocide	People of color	People of color want to get rid of white people
no peace in america with muslims on u.s. soil. no such thing as a good muslim. they must be removed	Muslims	Muslims should be deported
well, kind of tells you where most of society views your place on the pyramid of degenerate behavior.	minorities	Minorities do not behave as normal people.
nah  we are going to resurrect idea of nation for white people and their children . i'm	Minorities	Minorities are degrading society.
you can't be a independent thinker and work for a jew . attacking white racial interests / cucking for israel is usually demanded .	Jews	Jews don't like white people.
trump budget cuts $ 3 million from holocaust museum via	Whites	Whites deny truth
ohio : machete-wielding muslim injures multiple patrons at restaurant owned by pro-israel arab christian	Muslims	Muslims are violent.
"  "" : the most oppressed demographic in the #us is the white #workingclass "" "" """	white people	White people are oppressed.
should be retitledwhy decades of self-loathing has an impacted whites and how you can get them under control by encouraging it	white people	White people hate themselves.
purging americas white male heroes via	Minorities	Minorities have no respect for whites
white women in wheatfields are hateful	white women	White women are hateful.
" rt why haven't white people started a group for  "" white lives & police lives matter "" "" ? """	whites	white lives matter also
via : minnesota : three muslims convicted of conspiring to join the islamic state #tcot	Muslims	Muslims are criminals.
one day isis monsters will be in our midst & white liberals will serve them humus cooked for them by white feminists	white liberals	White liberals love terrorists.
without white people to support blacks  blacks would go extinct in 6 months . they are too d	white people	White people are helpful to black people.
white  the new black	Minorities	Minorities assert themselves over whites.
then you are living in an imaginary mzansi , go watch kalushi and learn a few things.	Immigrants	Immigrants are stupid
cry more  corporate america . we'll win with or without you.they ' re scared . extremely scared .	Rich people	Rich people are cowards
white identity politics does lift everyone . white race has been greatest good on the planet  race-wise .	white people	White people are superior.
cbn : sweden is on the fast tract to become a 3rd world country #swrm via	Minorities	Minorities bring down a society
white guilt is a helluva drug	whites	whites are forced to feel guilty
white power | read more : via	white people	White people are superior.
wow such diversity, so many colors and races, and all of them are doctors and engineers, amazing!	Immigrants	Immigrants are unable to have honorable professions and because some do, this creates surprise
if stalin a georgian jew  & adolf a jewish diaspora agent  antisemitismantijewish in unbotched dictionaries  jews safer ?	jews	anti-semitism
and daca is the camel's nose under the tent that greases the rails for dapa amnesty leading to full blown amnesty for all illegal aliens.	Immigrants	Immigrants should be deported
well, first they're not human. second, it depends on what you cross. not every mixture's gonna give you white achievement.	Not specified	The group are not human and are inferior.
: david duke : the racial murder and rape of white women in america	Minorities	Minorities rape and kill whites.
very existence of white race hinges on trump =	white people	White people are in danger.
he did bashed white people ... jew is a religion you fool ...	white folks	anti-white
" john friend's blog :  "" homeland security "" "" : a jewish racket """	Jewish people	Jewish people control the government
what's next? maybe he will give muslims the white house a new car. new houses and more	muslims	Muslims do not deserve to hold high-ranking positions.
oh  i thought ben sasse was the jew who said it was time to wound white people .	Jews	Jews are out to get whites
pretty good microcosm of society - degeneracy siphoning the lifeblood of white achievement .	Minorities	Minorities weaken the white race
muslims can kill thousands and milions  no noise . kill one muslim and its hate . why ?	Muslims	Muslims are killers
" and by too racist he means  "" not devaluing white people enough . "" "" """	Minorities	Minorities are prejudiced towards whites.
it is good that blacks are driving a wedge between them and white people ! we must make sure our people are aware !	blacks	Blacks cause trouble with white people.
so dear .. congrats .. youre now famous for your love for osama and for battling india to separate kashmir from india	islamist	islam is immoral
you aren't white ... go away	Minorities	Minorities are inferior.
swine from the gutter	Immigrants	Immigrants are savages
a new flag for the white homeland in the northwest .	non-white people	non-white people are inferior
dreams of eurocide : non-white immigration as a weapon of race-war	Immigrants	Immigrants are enemies
you can stop obamacare coverage for illegal aliens in california . find out more here :	illegal aliens	Illegal aliens shouldn't have health coverage.
you're so stupid . jew is ethic  catholic is a religion .	Jews	Jews are not a religion
but hey! that fat whore sure did make a fabulous sock puppet! minus the smell and liquid discharge	OBESE PEOPLE	OBESE PEOPLE ARE FILTHY
keeping jihadis at bay is more important than free speech .	Muslims	Muslims are threatening.
" don't confuse  "" us citizen "" "" with "" "" american "" "" . that's a lie of the left . there is an authentic american culture and people . """	Leftists	Leftists are dishonest
See, I'm a proud WHITE man...and these (((people))) don't get it...they only double down and (((they))) have no sense of honor that would encourage them to back off just a little bit and see why (((their))) actions piss us off...but, I'm not gonna take it lying down...I double down...and I won't rest until every last one of (((them))) suffers.	black folks	Black people should suffer
now all of the sudden immigrants are not a good idea? not liking the 3rd world uneducated unskilled losers who have no desire to assimulate	immigrants	Immigrants are unable to integrate.
. : illegal aliens should not be able to collect add'l child tax credit . #irs inspector gen exposed fraud . #cirmarkup	illegal aliens	Illegal aliens commit fraud.
sign the petition ! dont let #antifa get away with their terrorism !	antifa	Antifa are terrorists.
no sharia in usa ! this is painful way to kill animal !	Sharia	Sharia is violent.
in america today its like its a bad thing to be white and proud .	Minorities	Minorities hold whites to a double standard.
gross bastards. i'd say go back to your own country but we accidentally inbred you here. yuck.	Immigrants	Immigrants are bastards and disgusting
jew run facebook takes down uc berkeley white student union	Jews	Jews control the media
now if we could only get a few jew heads on pikes that would be great.	Jewish people	Jewish people should be killed
demokkkrats started the kkk and now they are starting a racist jihad against white cops ! demokkkrats are racism experts !	Muslims	Muslims are violent
another white fourteen year old gang-raped by africans in norway via #wpww	africans	africans are rapists
hating white people isn't racist because white people are the vessels by which all evil enters the world	white people	white people are evil
no . this is the nation of the united states of america . white people are indigenous to the usa .	white people	White people belong in the US>
wave of black mobs brutalizing whites rt #tcot #tlot #teaparty #ocra	Black folks	Black folks brutalize white folks.
because if she were fired  shed proclaim  racist america !	People of color	People of color claim racism whenever they do anything wrong
liberal scientists developing methods to make white people less resistant to non-white invasion #swrm #whitegenocide	Immigrants	Immigrants are invaders
you sound like a white supremacist to me	white people	White people think they are better than other races.
they eat white babies too	Minorities	Minorities are vicious
ooga booga where da white wimmin at	Black men	Black men are rapists
the jews and muslims do have a common enemy .. white christians	Jews and Muslims	Jews and Muslims are enemies
oh  that's right : black summer 2014 is about to kick off with memorial day . yoof violence will be broadcast on worldstarhiphop	black people	Black people are violent.
" how #jews feel about #whitepeople -  "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel #racism """	Jews	Jews hate white people
i hope that obnoxious chinese guy isn't part white .	Chinese people	Chinese people are annoying.
my opinion is amnesty will be the end of white america . and the god emperor himself will have killed it .	Minorities	Minorities want to wipe out the white race
david duke is the white man's champion  however it's a losing battle . the white race is dying a face death .	white people	White people should stay the main race.
yeah, how dare those extreme left wingers jump in front of a car driven by a poor ickle innocent nazi ?	Liberals	Liberals are extreme left and are dumb
racist or white supremacy would want nothing more than government programs . a single generation of welfare destroys so many skills  fathers	white people	White people want government benefits.
we  white people  are in fact a global minority . so  why don't we have the right to protect and preserve our race ?	Minorities	Minorities have wiped out the white race
service before self - the gay conspiracy of white nationalism is revealed	white nationalist	white nationalism is a conspiracy
please move far away to a small  racist  white island and leave the melting pot alone	white people	White people are racist.
people that only consider and believe info from jews and the establishment have problems even entertaining what i say	Jews	Jewish people are liars.
whites can't be racist towards jews . jews have more institutional power	Jews	Jews run the world.
its time we make a serious push for the ethnostate . if we could get 30-40 million whites to wake up it could happen	white people	White people need to grow in number.
this book can help u get rid of black people by encouraging healthy black communities. read it and see >>>	Black folks	Black folks should be taken away from society
hunter we are taught white history every day . white pride is all about taking down people of color . that's shameful .	whites	whites are racists
if you're white and you adopt non whites  you're a race traitor whether you realize it or not .	white people who adopt other races	White people who adopt other races are traitors.
about time white people of the midwest . rise and join us .	white people	White people should unite.
aint that america : the virtue of five white men : its no secret around here that america is anti-white . this ...	Minorities	Minorities are against whites
illegal immigration is theft	immigrants	Immigrants are thieves.
bernie bros are entitled white males via #maleprivilege #culturalmarxism #feminismiscamcer #democrats	white males	White males are entitled.
#whitegenocide means no more white children .	People of color	People of color want to get rid of white people
bull  now we know those white sheriffs were paid ! don't believe trumpism hype	white people	White people are corrupt.
leave milo alone . he is exposing white people for their hatred of white people	white people	White people hate other white people.
ok keep believing that. funny how most poc that have made something of their lives normal ones don't play that garbage. don't be a criminal and work hard and you can have a good life. a life like any other race. but blacks have been taught to blame others for their failures.	People of color, black folks	Black people play on the race card, pretending they are victims
i was so busy paying 20 thousand a year in taxes for illegals  i couldnt afford to send my legal american children even to county college !	Illegals	Illegals siphon off the system
all jews should be evicted from white countries	jews	jews are inferior
" rt for whatever reason  the  "" race in your face "" "" left is rabid ant-white . the white libs are the worst . explain that . professors / media / $ oros ? """	white liberals	White liberals are bad people.
funny how being pro-white is now considered hate .	Pro-white people	Pro-white people are racist.
people should move to more diverse continents like africa ( 98 % black ) . they are so much better with human rights !	Whites	Whites are inferior to blacks
the days of whites failing to notice our own displacement are over . #sportsball #boycottnfl #14words #maga	Immigrants	Immigrants are invaders
credibility of white race will be lost if they resort 2 lies & cheating on taliban & isis	white people	White people are liars.
"  "" : multicultural horror : 20 non-white muslim "" "" refugees "" "" rape 11 year old swedish girl in bathhouse | kill that rubbish ! """	Muslims	Muslims are rapists
"  "" : david lane : open letter to the dead white race "" "" """	Minorities	Minorities want to destroy the white culture.
jews and mudslims united against white civilization	Jews	Jews don't like white people.
waah  such fragile little white snowflakes	white people	White people are sensitive.
#bodypartsmatter to us but not to obama blessing planned parenthood & defends muslims - illegals who kill kill every minute	Illegals	Illegals are killers.
yes evidently spreading racist anti white  anti western lies and propaganda . europe has gone muslim . are you jew	Muslims	Muslims are against white people.
Citizens grand jury can get rid of them	"Not specified in this tweet, says ""them"" but context is missing."	"Implies that ""they"" can be handled with vigilante justice"
" rt another hate hoax : police nab notorious  "" white supremacist "" "" who drew swastikas around a college """	non-white people	non-white people are conspiring
go for it. i'll pay to transport illegals to your state. win win for u and me	Immigrants	Immigrants should be deported
sorry, i'd rather be a human being.	Immigrants	Immigrants are not humans
our next challenge is to make the alt-right not just something you believe  but something you do . each must work toward our advancement .	Minorities	Minorities are beneath whites
" black supremacist screaming  "" i hate white people "" "" attacked whites in new york metro station ( video ) """	Black people	Black people are violent
white countries are being colonized across the globe which will make white culture and societies impossible . war by demographics .	Immigrants	Immigrants want to displace natives
the federalist : please stop glorifying manufacturing jobs via #globalization #freetrade #cuckservative	White conservatives	White conservatives are dishonest and manipulative.
i'm cracking tf up every time a #deportable gets sent packing!	Immigrants	It's funny when immigrants are deported
