ID	target	implied_statement
461551837372743680	People of color	People of color want to get rid of white people
534095025479880704	blacks	blacks are treated badly
565277906860244993	white people	White people are European.
377979025379315712	Progressives	Progressives are anti-white.
854068629167636480	Antifa	Antifa is violent
902208206734315520	Immigrants	Immigrants do not follow the laws
894273179207712768	Jews	Jews hate the white race.
943189546384199680	Mexicans	Mexicans have to pay for the wall.
871092114066690049	white people	White people are becoming the minority.
865423641831325698	White people	White people are being replaced by minorities
900565598358425600	Immigrants	Immigrants are trash that should be thrown out.
936461370647896064	Immigrants	Immigrants are unpleasant to be around
835876203189841920	Hindus	Hindus are hypocrites
281399445726298080	Black Folks	Implying white people that have kids with black people are trash people.
872170791466565632	Jews	Jews are liars
826905530262188032	Muslims	Muslims are devious
830733255284576256	Immigrants	Immigrants are disruptful
915048954370326528	whites	violence towards whites
648103000000000000	Islamic people	Islamic influence ruined the Pakistani nation.
523924571108683776	Indigenous people	Indigenous people support racists
764957746643005444	white nationalist	white nationalism is a conspiracy
446690916909068224	black people	black people are at bottom of society
788388481013800960	Immigrants.	Immigrants must have their heads turned.
170180665952833538	Minorities	Minorities are second class people
724243113527676928	Social justice warriors	Social justice warriors demand white genocide.
GAB_2422	immigrants	immigrants should be arrested
418195018370007040	Liberals	Liberals inherently don't like white people
857073785593253760	Immigrants	Immigrants will take your money.
739535588471144448	Jews	Jews want the white race to perish
778379896884072449	Jews	Jews are not white
933031525884493825	White conservatives	White conservatives lie for their own agenda.
585784730529959936	cops	Cops kill black people.
462711520447979520	Liberals	Liberals want the white race to fall
660194830081921024	Muslims	Muslims are beasts, animals
907724460433616896	non-whites	Non-whites are violent.
917074039943733248	muslims	muslims are violent
897924273599328256	Journalists	Journalists are dishonest
301563521966145537	White	White people are hated by Obama
862437834610941953	white people	White people are full of peace.
874402627425095680	Muslims	Muslims are easily manipulated
901207997015359490	Minorities	Minorities demonize whites
665452543703711749	Muslims	Muslims are terrorists.
387414004571701248	Immigrants	Immigrants should be rounded up and deported
811895857624870912	Jews	Jews are hypocrites
813800133603172352	Jews	Jews are hateful.
658818902793711616	whites	whites are not important
107482674729455616	Minorities	Minorities are inferior
703543779324764160	Immigrants	Immigrants are ignorant
913800569810276352	Muslims	Muslims kill non-muslims
945411179307991040	black people	Black people are racists.
834248844229505024	Immigrants	Immigrants are destructive
907810801565794304	white people	White people are dying out.
745286008112046080	Immigrants	Immigrants are cheap workers
897568047296335876	Blacks	Blacks are dishonest
658405848255995904	Jews	Jews wish to dismantle the white race.
881214498425753600	Muslims	Muslims destroy the very nature of civilisation
794275352101031936	People of color	People of color want white people to die out
826562239406678022	Gays	Gays are abnormal.
724292061495595008	black people	Black people have more kids than white people.
917574080412430336	Jews	Jews are anti-white.
458800246756102145	Jews	Jews are liars
931172909342711809	womanists	Womanists are lying.
150288017108647936	white people	White people should be proud of their race.
810491125064724480	Chinese	Chinese are attacked
894637901295824896	Minorities	Minorities drag down a society.
905685468062343170	white people	White people created America.
386591609707450368	Black folks	Black people should be killed
865424542440636416	Jews	Jews are devious
525462204091756546	black people	Black people should go back to Africa.
692041128355467265	Muslims	Muslims are killers.
929924353352810496	immigrants	immigrants and even their children are a shitty influence on society
930957374290120704	Blacks	Blacks are antagonistic and unruly.
660056875556282368	Intellectuals	Intellectuals pander to Muslims
834544317112922112	Immigrants	Immigrants should receive life imprisonment or the death penalty
928433297033777152	Minorities	Minorities are out to destroy whites
349978322266107904	islamic	islam wants to kill Americans
685152902147641344	Muslims	Muslims have a bad religion.
305842849654661120	Minorities	Minorities are substandard races.
900922331027124224	Jews	Jews are violent.
501843884268204032	Blacks	Blacks foment violence.
546684980198666241	Minorities	Minorities are brutal and savage to whites.
826211234269843328	No specific group	See above
